WEBSITE_NM,WEBURL,CNT,STA_SDATE,STA_EDATE
網站名稱,網址,件數,統計起始日期,統計結束日期
0x,www.0xdappplus.com,2,2023/04/25,2023/04/30
0x,www.0xplusdapp.com,3,2023/05/01,2023/05/07
100Ex,www.100exbank.com,2,2023/05/01,2023/05/07
167棋牌,www.1672211.com,2,2022/02/28,2022/03/06
17play娛樂城,17-play01.com,4,2022/06/06,2022/06/12
17play娛樂城,www.17-play55.com,3,2022/05/09,2022/05/15
17play娛樂城,www.17-play55.com,2,2022/05/02,2022/05/08
17play娛樂城,www.17-play88.com,5,2022/05/23,2022/05/29
17play娛樂城,www.17play00.com,2,2022/07/04,2022/07/10
17play娛樂城,www.17play135.com,4,2022/07/25,2022/07/31
17play娛樂城,www.17play275.com,3,2022/08/08,2022/08/14
17play娛樂城,www.17play275.com,3,2022/08/01,2022/08/07
17play娛樂城,www.17play98.com,2,2023/02/01,2023/02/07
17play娛樂城,www.17play98.com,2,2022/09/26,2022/10/02
17play娛樂城,www.17play98.com,4,2022/07/18,2022/07/24
17play娛樂城,www.17play98.com,6,2022/07/11,2022/07/17
17play娛樂城,www.onesevenplay.com,4,2022/09/05,2022/09/11
17play娛樂城,www.onesevenplay.com,4,2022/08/15,2022/08/21
17play娛樂城,www.onesevenplayy.com,2,2022/11/14,2022/11/20
17代工休閒娛樂,17joke.com,3,2022/11/14,2022/11/20
17代工休閒娛樂,17oemm.com,3,2022/09/12,2022/09/18
17代工休閒娛樂,www.17gamming.com,2,2022/11/01,2022/11/06
17代工休閒娛樂,www.17oemm.com,2,2022/12/19,2022/12/25
17購,www.17shopage.com,2,2022/04/04,2022/04/10
17購,www.17shopal.com,3,2022/03/14,2022/03/20
17購,www.17shopal.com,2,2022/03/07,2022/03/13
17購,www.17shoped.com,2,2022/03/21,2022/03/27
17購,www.17shoply.com,2,2022/04/18,2022/04/24
1COIN,www.onecin.vip,5,2022/12/26,2023/01/03
1COIN,www.onecopi.vip,5,2022/12/12,2022/12/18
1COIN,www.onecopx.vip,2,2023/02/15,2023/02/21
1COIN,www.onecss.vip,2,2023/03/22,2023/03/28
1COIN,www.onecss.vip,2,2022/12/05,2022/12/11
1COIN,www.onecss.vip,2,2022/11/07,2022/11/13
1COIN,www.onecss.vip,3,2022/10/24,2022/10/31
2OKEXTW,www.2okextw.com,4,2022/02/07,2022/02/13
2OKEXTW,www.2okextw.com,2,2022/01/10,2022/01/16
2OKEXTW,www.2okextw.com,5,2022/01/03,2022/01/09
2OKEXTW,www.2okextw.com,5,2021/12/27,2022/01/02
2OKEXTW,www.2okextw.net,2,2022/01/24,2022/02/06
2OKEXTW,www.2okextw.net,3,2022/01/17,2022/01/23
3A娛樂城,www.aaa1788.com,2,2022/05/23,2022/05/29
91shop,www.91shopes.com,2,2022/12/05,2022/12/11
?龍支付,154.209.3.50,2,2022/04/11,2022/04/17
A.K.A,www.akaaeok.com,2,2022/03/21,2022/03/27
A.K.A,www.akact5.com,3,2022/01/03,2022/01/09
A.K.A,www.akkaw.com,2,2022/02/07,2022/02/13
AAEX,aachain.app,3,2022/10/24,2022/10/31
AAEX,aaex.asia,2,2022/07/25,2022/07/31
AAEX,aaex.club,10,2022/12/26,2023/01/03
AAEX,aaex.club,2,2022/12/05,2022/12/11
AAEX,aaex.club,3,2022/08/29,2022/09/04
AAEX,aaex.club,4,2022/08/22,2022/08/28
AAEX,aaex.in,3,2022/09/26,2022/10/02
AAEX,aaex.in,2,2022/09/12,2022/09/18
AAEX,aaex.win,2,2022/10/17,2022/10/20
AAEX,aaex.win,6,2022/10/10,2022/10/16
ACDX,acdx.centere.info/h5,5,2022/01/24,2022/02/06
ACDX（GDP）,app.acdxcoin.site,2,2022/02/28,2022/03/06
ACENT,acentvip.com,2,2023/04/11,2023/04/17
ACI量化機器人,acirobot.com,2,2022/07/04,2022/07/10
ACI量化機器人,acirobot.com,5,2022/06/27,2022/07/03
ACI量化機器人,acirobot.com,14,2022/06/20,2022/06/26
ACP,a9.acp-tw.website,4,2023/02/01,2023/02/07
ACP,chekl.acp-tw.info,5,2023/01/18,2023/01/31
ACP,chekl.acp-tw.top,7,2023/02/22,2023/02/28
ACP,n1.acp-tw.life,3,2023/04/11,2023/04/17
ACP,phn.acp-tw.life,3,2023/03/22,2023/03/28
ACP,phn.acp-tw.life,2,2023/02/15,2023/02/21
ACP,ww1.acp-tw.cc,2,2023/03/15,2023/03/21
ACP,www.acp-tw.cc,2,2023/04/18,2023/04/24
ACP,www.acp-tw.cc,2,2023/03/29,2023/04/03
ACP,www.acpcointw.info,2,2023/04/04,2023/04/10
ACUX,www.acuxs.com,2,2023/02/22,2023/02/28
ACY,qwer.acycmsdqw.work,2,2022/10/17,2022/10/20
ACY,www.acyvip.cc,2,2022/02/14,2022/02/20
AE Global,members.aegloballink.com,2,2023/04/25,2023/04/30
AE Global,www.aegloballink.com,2,2022/10/03,2022/10/09
AEMD,mkp.aemda.com,4,2023/04/11,2023/04/17
AEON,yongwang-hk.com,2,2022/07/11,2022/07/17
AER,asfggbb.top,3,2022/02/07,2022/02/13
AEXBANK,artc.bstykbt.com,3,2023/04/04,2023/04/10
AEXBANK,bcotgmu.bstmad.com,3,2023/04/25,2023/04/30
AEXBANK,bcotgmu.bstmad.com,6,2023/04/18,2023/04/24
AEXBANK,bcotgmu.bstmad.com,5,2023/04/11,2023/04/17
AEXBANK,mdct.bstustb.com,4,2023/05/01,2023/05/07
AEXBANK,ot01.bstykbt.com,2,2023/03/15,2023/03/21
AGoodCoin,h5.agoodcoin.com,4,2022/06/13,2022/06/19
AGoodCoin,h5.agoodcoin.net,2,2022/06/27,2022/07/03
AGoodCoin,h5.agoodcoin.net,3,2022/06/06,2022/06/12
AGoodCoin,www.agoodcoin.com,2,2022/05/16,2022/05/22
AIC Markets,www.aicmks.com,3,2022/11/21,2022/11/27
AISMEX,www.aismex.com,2,2023/04/18,2023/04/24
AISMEX,www.aismexu.com,4,2023/05/01,2023/05/07
AITechStock,aitechstock.co,3,2022/01/03,2022/01/09
AITechStock,www.aitechstock.co,2,2022/03/30,2022/04/03
AITechStock,www.aitechstock.co,3,2022/02/21,2022/02/27
AITechStock,www.aitechstock.co,4,2022/02/14,2022/02/20
AITechStock,www.aitechstock.co,3,2022/01/10,2022/01/16
AITechStock,www.aitechstock.tw,7,2022/01/24,2022/02/06
AITechStock,www.aitechstock.vip,16,2022/02/07,2022/02/13
AITechStock,www.vipaitechstock.com,2,2022/03/14,2022/03/20
AKA-MONEY,www.aka-money.com,3,2021/12/27,2022/01/02
AKA-MONEY,www.aka-money.net,3,2022/01/17,2022/01/23
AKAR（A.K.A）,www.akaaeok.com,5,2022/04/18,2022/04/24
AKAR（A.K.A）,www.akrfas.com,4,2022/03/30,2022/04/03
AKAR（A.K.A）,www.xakkxaa.com,3,2022/04/11,2022/04/17
AKAR（A.K.A）,xakkaax.com,2,2022/05/02,2022/05/08
ALC,www.hifly09826.top,2,2022/02/28,2022/03/06
ALC,www.hifly92093.top,2,2022/02/14,2022/02/20
AMA,888ama.com,2,2022/02/21,2022/02/27
AMATAK,auniswap.top,3,2023/01/18,2023/01/31
AME,www.amedyu.vip,4,2023/04/25,2023/04/30
AME,www.amedyu.vip,2,2023/03/29,2023/04/03
AME,www.ameidp.vip,3,2023/04/18,2023/04/24
AME,www.ameids.vip,6,2023/05/01,2023/05/07
AME,www.ameids.vip,3,2023/04/11,2023/04/17
AME,www.amekts.vip,2,2023/03/22,2023/03/28
AMZ內部營銷平台,etzv.bfsaqpro.xyz,3,2023/04/25,2023/04/30
AMZ內部營銷平台,rwey.fdsjy.ltd,2,2023/03/29,2023/04/03
ANTI,anti178.com,6,2022/07/18,2022/07/24
ANTI,anti261.top,7,2022/07/11,2022/07/17
ANTI,ianti178.com,3,2022/08/08,2022/08/14
ANTI,ianti178.com,8,2022/07/25,2022/07/31
ANTI,ianti666.xyz,3,2022/08/22,2022/08/28
ANTI,ianti999.top,5,2022/08/01,2022/08/07
APEX,apexcoin.tw,3,2022/10/24,2022/10/31
APEX,cropty5138.apexcoins.cc,4,2022/12/12,2022/12/18
APEX,cropty5138.apexcoins.cc,5,2022/12/05,2022/12/11
APEX,crypto5138.apex-coin.co,6,2022/10/10,2022/10/16
APEX,crypto5138.apexcoins.club,4,2022/11/07,2022/11/13
APEX,crypto5138.apexcoins.online,5,2022/11/21,2022/11/27
APEX,p8.apexcoins.cc,5,2022/11/28,2022/12/04
APEX,p8.apexcoins.club,3,2022/12/19,2022/12/25
APEX,p8.apexcoins.net,2,2022/10/17,2022/10/20
APEX,phn.apex-coins.live,3,2022/12/26,2023/01/03
