編號,一頁式詐騙購物網站,偽冒網址,網域名稱,詐騙網站創立日期,接獲通報日期,停止解析日期
1,連至PChome 24H購物網站首頁,https://onlytoppc24.com/ucy9mf2#/login,onlytoppc24.com,2023-06-20T15:13:38,2023-06-29T00:00:00,2023-06-30T00:00:00
2,連至PChome 24H購物網站首頁,https://tobuyersepc24.com/57vgaqk#/login,tobuyersepc24.com,2023-06-28T11:07:03,2023-06-29T00:00:00,2023-06-30T00:00:00
3,疑似假冒PChome 24h購物網站登入頁面,http://sharefunpc24.com/bcew9vc#/login,sharefunpc24.com,2023-06-16T07:47:32,2023-06-30T00:00:00,2023-06-30T00:00:00
4,疑似假冒PChome 24h購物網站登入頁面,https://topbuypc24.com/uxinwni,topbuypc24.com,2023-06-30T11:36:28,2023-07-04T00:00:00,2023-07-04T00:00:00
5,疑似假冒PChome 25h購物網站登入頁面,https://comeinpc24.com/pwoi17,comeinpc24.com,2023-07-04T05:29:21,2023-07-05T00:00:00,2023-07-05T00:00:00
6,疑似假冒PChome 25h購物網站,https://justfunpc24.com/sqanw94#/login,justfunpc24.com,2023-07-19T07:01:41,2023-08-10T00:00:00,2023-08-10T00:00:00
7,假冒樂信創意網站,https://rkeos.top/item/JZHMK/22105.html?fbclid=IwAR1tdc2pIwCerwTWnQUxpdoaZ1lni9VVFH1eFv0WnRBUAlVx4THCMFa2t-U,rkeos.top,2023-04-26T03:29:20,2023-08-10T00:00:00,2023-08-10T00:00:00
8,假冒樂信創意網站,https://emord.top/item/YSQ/230501.html?campaign_id=23856260286270151&adset_id=23856260286350151&ad_id=23856260286420151&utm_source=facebook&act=473328124661265&fbclid=IwAR3KyBZDKR3ahXHpC-JCyCiZCdPOtIXZQIv5hY1RqZBRLZ2M7fOqKdZuECg_aem_Af5ps2ZexFUC7ftqP-c17ke-im6Cm9FYpZkyINf9CTOclcPd9CVzhCYAlP2XR_Z_yTai7hcnXw8w_hyAt3fzmwKw,emord.top,2022-11-14T02:06:27,2023-08-10T00:00:00,2023-08-10T00:00:00
9,假冒樂信創意網站,https://qsoern.com/item/HHY/221053.html?fbclid=IwAR33PnvLk-f1F26YRkQtGFEuiZOyGPPQf28B1oUrpHke2pt62liXvdf3w_w,qsoern.com,2022-07-27T01:10:27,2023-08-10T00:00:00,2023-08-10T00:00:00
10,假冒樂信創意網站,https://cqddzz.com,cqddzz.com,2021-10-12T01:20:30,2023-08-10T00:00:00,2023-08-10T00:00:00
11,假冒台灣樂天網站,https://rakuteyzhg.shop/j68gr9lp2o00,rakuteyzhg.shop,2023-04-06T09:59:15,2023-08-15T00:00:00,2023-08-15T00:00:00
12,假冒台灣樂天網站,https://rakutennk.com,rakutennk.com,2023-07-24T16:25:20,2023-08-15T00:00:00,2023-08-15T00:00:00
13,假冒台灣樂天網站,https://www.rakutenccb.com,rakutenccb.com,2023-06-29T06:26:02,2023-08-15T00:00:00,2023-08-15T00:00:00
14,假冒台灣樂天網站,https://letang888.com,letang888.com,2022-11-07T08:41:26,2023-08-15T00:00:00,2023-08-15T00:00:00
15,假冒樂信創意網站,https://hiseud.com/item/RHY/22105.html?campaign_id=23858575402370628&adset_id=23858575402350628&ad_id=23858575402360628&utm_source=facebook&act=1149868802285432&fbclid=IwAR0nZby2bfyejfH-hdMHdiQJC_Fa5DndA6X3yEZUI9flv1VHcv0yE8NoV2Y_aem_Abnn5WHVzEeeD3HuoGupfBz9_79_h-jXaPKaYVhpg6jCyJX3ci00M0I-O6e8h0cUwFh6x4iho5KOlEVVyci0clhQ,hiseud.com,2022-09-23T01:21:01,2023-08-16T00:00:00,2023-08-16T00:00:00
16,假冒樂信創意網站,https://agftyf.shop/Twcolare2?fbclid=IwAR0bjKivQzOOlLoRXNDe1XGVBnbLuJ2SaDUku3C2fUgQeZjbTD_FdofVKlo_aem_AWISLNh4xnA9x4pBmf4WpXJQNfra97kck2eFvANITpy4OKEyA-fAbRxs0glcbwGnbxNAHJAP55_vYZ6W_UhoQS2H,agftyf.shop,2023-05-31T08:22:05,2023-08-16T00:00:00,2023-08-16T00:00:00
17,假冒樂信創意網站,https://momotwafvb.store/p?id=vo5IMOm&fbclid=IwAR0QNTbgnG1bkv8sshFHe7apRh4S8LvXmepULQfzC4E2TzjmPG7zLVE1yU0,momotwafvb.store,2023-03-06T03:03:47,2023-08-16T00:00:00,2023-08-16T00:00:00
